requested_time_since_log_start_s,elapsed_since_image_range_valid_s,actual_sample_time_s,sample_offset_ms,image_distance_m,laser_distance_m,fused_distance_m,image_range_valid,fused_range_valid,laser_fusion_used,image_closing_speed_m_s,fused_closing_speed_m_s,target_locked
44.414,18.100,44.409,-4.978,21.4444,6.4036,6.4036,1,1,1,-0.0000,0.4719,1
44.514,18.200,44.514,0.011,21.1334,6.3566,6.3566,1,1,1,1.5716,0.4622,1
44.614,18.300,44.609,-4.949,20.8311,6.3407,6.3407,1,1,1,2.3447,0.3884,1
44.714,18.400,44.709,-5.003,20.5370,6.2693,6.2693,1,1,1,3.3813,0.4706,1
44.814,18.500,44.814,0.016,20.5370,6.2196,6.2196,1,1,1,1.4586,0.4810,1
44.914,18.600,44.909,-4.985,20.5370,6.1957,6.1957,1,1,1,0.0002,0.3854,1
45.014,18.700,45.014,0.028,20.2509,6.1316,6.1316,1,1,1,1.0271,0.4809,1
45.114,18.800,45.109,-4.967,20.2509,6.1287,6.1287,1,1,1,1.6510,0.3675,1
45.214,18.900,45.214,0.048,20.2509,,6.1235,1,1,0,0.2000,0.0450,1
45.309,18.995,45.309,0.000,,,,0,0,0,,,0
